,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,group
2020-07-01,644,353,426,418,732,1616,2270,4303,6366,5362,9145,9413,10993,9532,10262,8014,7834,6518,4481,2240,1479,1486,1037,821,1
2020-07-02,444,564,428,421,437,631,2107,4531,5742,7184,11040,13966,12290,12717,12122,11429,10108,9036,5450,3535,2659,1862,1302,1000,1
2020-07-03,725,372,378,317,436,795,1836,4133,6428,7422,13223,14936,13720,14463,17019,13511,11192,8792,5893,3437,2385,1993,1367,1368,1
2020-07-04,682,568,771,556,405,839,1342,3174,6453,8300,14899,18695,18745,16609,19293,16519,13731,9788,5379,3361,2798,1381,1382,1077,1
2020-07-05,694,397,267,575,949,884,1119,3696,6388,11116,21259,23606,24543,22835,21045,17226,16286,12011,8403,3845,2573,1695,1215,900,0
2020-07-06,602,540,564,524,578,694,2053,4397,4822,7062,11598,14490,12199,11077,12074,9597,7941,6540,4637,2940,1822,1735,937,589,1
2020-07-07,565,356,331,409,605,791,1917,4110,4930,5593,11014,13720,12045,9733,10592,8947,7414,6531,4813,3175,2560,2094,1118,1150,1
2020-07-08,651,416,369,315,447,1125,1875,3609,4981,5926,10150,11249,10239,9491,10610,8713,8168,6698,4707,3223,2061,1421,833,868,1
2020-07-09,300,291,281,305,352,485,1562,3942,5869,6862,9442,12311,11627,10525,11790,9345,8467,6735,5246,3224,1807,1626,1332,1099,1
2020-07-10,579,746,549,460,430,714,1921,4029,5174,6867,10282,12768,14378,14600,15488,13272,11500,8620,5149,4076,3245,2589,1966,1624,1
2020-07-11,679,531,438,479,652,907,1746,3609,6115,10180,16209,19846,20056,20408,21813,19258,14029,9676,6369,3545,3213,1921,1835,1449,0
2020-07-12,742,680,430,443,776,1239,1894,3847,6724,11067,19327,27191,26302,25507,27013,26469,19544,15442,9340,3177,2727,2230,1402,1140,0
2020-07-13,510,520,462,382,575,1060,1962,4059,5672,7611,13364,17946,16497,14319,16535,14277,11066,8336,5669,3467,1897,1751,1159,872,1
2020-07-14,633,520,426,628,618,1100,2347,3869,5780,6299,11603,14338,12925,11547,13236,10855,8985,6652,4478,2601,1953,1602,1555,1650,1
2020-07-15,1319,653,426,575,547,1068,2201,4449,5752,6517,11896,10701,6901,14009,14391,12666,10096,8459,5179,3289,2190,1606,1235,1041,1
2020-07-16,671,923,632,805,706,880,2129,3568,6130,6434,12108,15562,14397,14599,14242,12840,12368,10531,6513,4077,2716,2186,1179,902,1
